index,time,name,id,type,format,len,data
00000419,000.000.262,接收,403,DATA,STANDARD,8,00009C000B030000
00000420,000.000.254,接收,404,DATA,STANDARD,8,0703050303030603
00000421,000.000.281,接收,405,DATA,STANDARD,8,000000000B02CF0B
00000422,000.000.236,接收,406,DATA,STANDARD,8,D902000000001400
00000423,000.000.260,接收,407,DATA,STANDARD,8,000000FF0000FFFF
00000424,000.000.281,接收,408,DATA,STANDARD,8,0502000000009B01
00000425,000.000.235,接收,305,DATA,STANDARD,8,000002FF0D02FFFF
00000426,000.000.281,接收,103,DATA,STANDARD,8,5500000000FFFFFF
00000427,000.000.255,接收,501,DATA,STANDARD,8,0000000000000000
00000428,000.002.156,接收,231,DATA,STANDARD,6,0201031F0E00
00000429,000.001.916,接收,232,DATA,STANDARD,6,020103230C00
00000430,000.001.640,接收,31F,DATA,STANDARD,8,000005020402FF80
00000431,000.000.239,接收,320,DATA,STANDARD,8,00009B010D02FFFF
00000432,000.005.422,接收,201,DATA,STANDARD,8,000000000B030000
00000433,000.086.028,接收,401,DATA,STANDARD,8,1A00AC0D00000002
00000434,000.000.266,接收,402,DATA,STANDARD,8,02320354FFFF0920
00000435,000.000.237,接收,403,DATA,STANDARD,8,00009C000B030000
00000436,000.000.279,接收,404,DATA,STANDARD,8,0703050303030603
00000437,000.000.248,接收,405,DATA,STANDARD,8,000000000B02CF0B
00000438,000.000.268,接收,406,DATA,STANDARD,8,D902000000001400
00000439,000.000.252,接收,407,DATA,STANDARD,8,000000FF0000FFFF
00000440,000.000.263,接收,408,DATA,STANDARD,8,0502000000009B01
00000441,000.000.257,接收,305,DATA,STANDARD,8,000002FF0D02FFFF
00000442,000.000.259,接收,103,DATA,STANDARD,8,5500000000FFFFFF
00000443,000.000.280,接收,501,DATA,STANDARD,8,0000000000000000
00000444,000.002.133,接收,231,DATA,STANDARD,6,0201031F0E00
00000445,000.001.916,接收,232,DATA,STANDARD,6,020103230C00
00000446,000.001.652,接收,31F,DATA,STANDARD,8,000005020402FF80
00000447,000.000.269,接收,320,DATA,STANDARD,8,00009B010D02FFFF
00000448,000.002.702,接收,201,DATA,STANDARD,8,000000000B030000
00000449,000.038.719,接收,401,DATA,STANDARD,8,1A00AC0D00000002
00000450,000.000.257,接收,402,DATA,STANDARD,8,02320354FFFF0920
00000451,000.000.259,接收,403,DATA,STANDARD,8,00009C000B030000
00000452,000.000.257,接收,404,DATA,STANDARD,8,0703050303030603
00000453,000.000.259,接收,405,DATA,STANDARD,8,000000000B02CF0B
00000454,000.000.257,接收,406,DATA,STANDARD,8,D902000000001400
00000455,000.000.259,接收,407,DATA,STANDARD,8,000000FF0000FFFF
00000456,000.000.281,接收,408,DATA,STANDARD,8,0502000000009B01
00000457,000.000.235,接收,305,DATA,STANDARD,8,000002FF0D02FFFF
00000458,000.000.280,接收,103,DATA,STANDARD,8,5500000000FFFFFF
00000459,000.000.263,接收,501,DATA,STANDARD,8,0000000000000000
00000460,000.002.128,接收,231,DATA,STANDARD,6,0201031F0E00
00000461,000.001.946,接收,232,DATA,STANDARD,6,020103230C00
00000462,000.001.632,接收,31F,DATA,STANDARD,8,000005020402FF80
00000463,000.000.239,接收,320,DATA,STANDARD,8,00009B010D02FFFF
00000464,000.005.323,接收,201,DATA,STANDARD,8,000000000B030000
00000465,000.036.140,接收,401,DATA,STANDARD,8,1A00AC0D00000002
00000466,000.000.253,接收,402,DATA,STANDARD,8,02320354FFFF0920
00000467,000.000.277,接收,403,DATA,STANDARD,8,00009C000B030000
00000468,000.000.239,接收,404,DATA,STANDARD,8,0703050303030603
00000469,000.000.264,接收,405,DATA,STANDARD,8,000000000B02CF0B
00000470,000.539.311,接收,406,DATA,STANDARD,8,D902000000001400
00000471,000.000.000,接收,407,DATA,STANDARD,8,000000FF0000FFFF
